api_name,type,url,time elapsed(milliseconds),size(kb),response
get popular boloindyans list,GET,http://localhost:8000/api/v1/get_popular_bolo/?language_id=8,371.167,909.5,200
get popular boloindyans list,GET,http://localhost:8000/api/v1/get_popular_bolo/?language_id=7,240.819,753.875,200
get popular boloindyans list,GET,http://localhost:8000/api/v1/get_popular_bolo/?is_expand=yes&language_id=3,391.824,1164.375,200
get homepage videos with category,GET,http://localhost:8000/api/v1/get_category_with_video_bytes/?is_discover=True&language_id=8,206.081,9.875,400
get homepage videos with category,GET,http://localhost:8000/api/v1/get_category_with_video_bytes/?language_id=6,745.963,9.875,400
get homepage videos with category,GET,http://localhost:8000/api/v1/get_category_with_video_bytes/?is_expand=yes&language_id=4,735.272,9.875,400
get notificationo the user,POST,http://localhost:8000/api/v1/notification/get,34.805,154.25,200
get tpic list  (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya/22748/comments/,14.601,5.125,405
get single topic filter by slug (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya,59.461,10150.75,500
get tpic list  (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya/22750/comments/,14.475,5.125,405
get single topic filter by slug (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya,84.229,10150.75,500
get tpic list  (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya/22752/comments/,16.161,5.125,405
get single topic filter by slug (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya,79.027,10150.75,500
get tpic list  (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya/22754/comments/,17.014,5.125,405
get single topic filter by slug (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya,78.997,10150.5,500
get tpic list  (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya/22756/comments/,17.358,5.125,405
get single topic filter by slug (OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/topics/testing_topic_boloindya,64.336,10150.75,500
if some one commented click on notifiction it will open to same comment,GET,http://localhost:8000/api/v1/comments/342891,49.726,158.375,200
if some one commented click on notifiction it will open to same comment,GET,http://localhost:8000/api/v1/comments/342892,52.018,156.25,200
if some one commented click on notifiction it will open to same comment,GET,http://localhost:8000/api/v1/comments/342893,46.806,158.125,200
if some one commented click on notifiction it will open to same comment,GET,http://localhost:8000/api/v1/comments/342894,47.486,157.25,200
if some one commented click on notifiction it will open to same comment,GET,http://localhost:8000/api/v1/comments/342895,47.914,138.375,200
delet topic,POST,http://localhost:8000/api/v1/topic_delete/,40.802,3.5,201
delet topic,POST,http://localhost:8000/api/v1/topic_delete/,43.665,3.5,201
delet topic,POST,http://localhost:8000/api/v1/topic_delete/,44.541,3.5,201
delet topic,POST,http://localhost:8000/api/v1/topic_delete/,39.711,3.5,201
delet topic,POST,http://localhost:8000/api/v1/topic_delete/,41.89,3.5,201
